32353	DAISYTHREADS	08/30/2018 07:42:35	N41 PA
32354	MMBOUTIQUE	08/30/2018 07:44:11	N41 PA
32355	EPICUREAN SPA-BOUTIQ	08/30/2018 07:47:29	N41 PA
32356	THE PURPLE DOOR	08/30/2018 08:06:04	FG PA
32362	PO GIRLZ	08/30/2018 08:22:29	CBS
32365	31TEWNTYFIVE	08/30/2018 08:29:22	N41 PA
32367	SALON ELEVEN	08/30/2018 08:30:42	N41 PA
32369	UPTOWN-GIRLS	08/30/2018 08:33:28	LAS PA
32371	ST PAUL ANTIQUES LEM	08/30/2018 08:37:43	FG PA
32374	PAGE-REED	08/30/2018 08:40:41	FG PA
32381	ROOTS-AND-WINGS-BOUT	08/30/2018 08:57:20	FG PA
32382	COZY-CABIN-BOUTIQUE	08/30/2018 08:59:16	LAS PA
32384	SALADAS-TX	08/30/2018 09:03:55	FG PA
32390	GLITTER ME PINK	08/30/2018 09:09:16	N41 PA
32392	THE PURPLE BLOSSOM B	08/30/2018 09:11:07	FG PA
32393	MAGNOLIA-BOUTIQUE2	08/30/2018 09:15:26	FG PA
32394	OBSESSIONS BOUTIQUE	08/30/2018 09:17:22	FG PA
32395	HIVE	08/30/2018 09:19:27	N41 PA
32398	ELLE AND CO BOUTIQUE	08/30/2018 09:23:22	N41 PA
32400	BLESSED IS SHE BOUTI	08/30/2018 09:38:23	FG PA
32405	MERAKI2	08/30/2018 09:42:10	FG PA
32407	GRAPES AND IVY-3	08/30/2018 09:47:53	FG PA
32408	MULTIFASHIONS	08/30/2018 09:51:28	CBS
32409	JODI-S-BOUTIQUE	08/30/2018 09:53:34	CBS
32410	ANNA-BO-S	08/30/2018 09:57:42	FG PA
32411	BIXOU	08/30/2018 09:59:12	CBS
32412	GIGIS TRAVELING BOUT	08/30/2018 10:02:00	N41 PA
32415	THE-PINK-HANGER-BOUT	08/30/2018 10:08:10	FG PA
32418	TOTAL CONCEPT SALON	08/30/2018 10:12:47	N41 PA
32419	JENNY BOSTON BOUTI-2	08/30/2018 10:15:23	FG PA
32420	RHINESTONE ANGEL	08/30/2018 10:19:46	CBS
32422	HONEY BROWNS	08/30/2018 10:21:09	N41 PA
32424	PENNY LANE BOUTIQUE	08/30/2018 10:24:45	CBS
32427	BEAUTY GRACE BOUTIQU	08/30/2018 10:31:01	CBS
32429	CROSWELL TACK AND WE	08/30/2018 10:48:59	N41 PA
32430	ELLA B BOUTIQUE	08/30/2018 10:50:00	N41 PA
32431	LEX BOUTIQUE	08/30/2018 10:54:07	CBS
32432	EYE CANDY-ILLINOIS	08/30/2018 10:56:41	N41 PA
32433	TRENDY CLOSET-AL	08/30/2018 10:58:42	N41 PA
32434	REAL-DEALS-ON-HOME-2	08/30/2018 11:04:31	N41 PA
32435	SMALL TOWN (SIN)	08/30/2018 11:10:42	CBS
32437	MIRABELLA BOUTIQUE L	08/30/2018 11:15:10	N41 PA
32438	GLIKS	08/30/2018 11:23:59	N41 PA
32441	WHIF CLOTHING BOUTIQ	08/30/2018 11:29:36	N41 PA
32442	MERLE-NORMAN-COSMETI	08/30/2018 11:31:26	N41 PA
32443	MINTED EM BOUTIQUE	08/30/2018 11:33:01	CBS
32444	GENEVIEVE GAIL	08/30/2018 11:35:01	CBS
32445	BELOVED BOUTIQUE	08/30/2018 11:36:51	CBS
32446	TIFFANY LANE	08/30/2018 11:40:32	CBS
32447	SUMAC TRADING CO	08/30/2018 11:41:52	N41 PA
