32607	GIGIS-FLORIDA	08/31/2018 07:47:18	N41 PA
32616	LUXE LIVING-2	08/31/2018 08:26:58	CBS
32617	THE ROLLING CABANA	08/31/2018 08:33:40	FG PA
32619	STRANDZ-SALON-AND-SP	08/31/2018 08:35:16	N41 PA
32620	SMILING DAISY	08/31/2018 08:37:32	FG PA
32622	MAGNOLIA CHIC BOUTIQ	08/31/2018 08:39:30	FG PA
32624	SOUTHERN EXPOSURE ST	08/31/2018 08:49:02	FG PA
32626	WILLOW-AND-BIRCH-SAL	08/31/2018 08:50:50	FG PA
32627	BELLA S COTTAGE INC	08/31/2018 08:52:28	FG PA
32629	JEN-JAC-BOUTIQUE	08/31/2018 08:53:52	FG PA
32630	COURTNEY MADELINE BO	08/31/2018 08:55:41	FG PA
32632	THE-PREAXHERS-DAUGHT	08/31/2018 08:58:41	FG PA
32633	AESTHETICS	08/31/2018 09:04:32	FG PA
32634	THIS N THAT FINDS-2	08/31/2018 09:07:49	FG PA
32636	MISS KAILEYS	08/31/2018 09:09:35	LAS PA
32637	TRINKETS-LTD-HEWLETT	08/31/2018 09:13:14	CBS
32639	DIVINE-FASHIONS	08/31/2018 09:21:06	LAS PA
32640	THE RUSTIC CHIC BOUT	08/31/2018 09:25:26	LAS PA
32641	THE-SPECKLED-BIRD	08/31/2018 09:26:45	LAS PA
32643	SWEET-L-A-E-BOUTIQUE	08/31/2018 09:28:47	N41 PA
32650	RACHELS	08/31/2018 09:40:44	N41 PA
32654	MULTITUDES	08/31/2018 09:47:21	CBS
32658	WHISKEY CREEK DESIGN	08/31/2018 09:51:14	N41 PA
32675	ANNA CRAIG BOUTIQUE	08/31/2018 10:49:31	N41 PA
32676	ENDLESS SUMMER	08/31/2018 10:53:27	N41 PA
32677	TUSCUMBIA OUTLET CEN	08/31/2018 10:57:17	N41 PA
32678	RED DOOR GIFTS	08/31/2018 11:01:32	N41 PA
32679	SASSY AND SOUTHERN	08/31/2018 11:03:29	CBS
32681	THE SPECKLED EGG BOU	08/31/2018 11:05:46	N41 PA
32683	GIFTED	08/31/2018 11:08:27	FG PA
32684	LITTLE BRITCHES	08/31/2018 11:10:23	N41 PA
32685	LAREDO COUNTRY	08/31/2018 11:12:29	CBS
32686	MUD AND PEARLS	08/31/2018 11:13:58	CBS
32687	PYPER AND PLUM LLC	08/31/2018 11:19:14	FG PA
